secid,permno,Ticker,Name
205766,15071,'INCR','INC RESEARCH HOLDINGS INC'
205767,15046,'NVRO','NEVRO CORP'
205771,15067,'FRPT','FRESHPET INC'
205793,15029,'CRC','CALIFORNIA RESOURCES CORP'
205807,15079,'PRAH','PRA HEALTH SCIENCES INC'
205809,15065,'FGEN','FIBROGEN INC'
205813,15088,'VA','VIRGIN AMERICA INC'
205814,15057,'APDN','APPLIED DNA SCIENCES INC'
205822,15062,'EYES','SECOND SIGHT MEDICAL PRODUCTS IN'
205847,15068,'HABT','HABIT RESTAURANTS INC'
205862,15045,'NEFF','NEFF CORP'
205895,15091,'KLXI','K L X INC'
205913,15117,'TRCO','TRIBUNE MEDIA CO'
205932,15092,'LC','LENDINGCLUB CORPORATION'
205940,15128,'HDP','HORTONWORKS INC'
205942,15108,'NEWR','NEW RELIC INC'
205962,15119,'WK','WORKIVA INC'
205994,15110,'ONDK','ON DECK CAPITAL INC'
206002,15125,'BLCM','BELLICUM PHARMACEUTICALS INC'
206007,15134,'JUNO','JUNO THERAPEUTICS INC'
206124,15145,'BOX','BOX INC'
206144,15168,'VSTO','VISTA OUTDOOR INC'
206149,15167,'SHAK','SHAKE SHACK INC'
206150,15183,'ONCE','SPARK THERAPEUTICS INC'
206191,15221,'ITEK','INOTEK PHARMACEUTICALS CORP'
206321,15220,'INOV','INOVALON HOLDINGS INC'
206322,15198,'NVTA','INVITAE CORP'
206404,15222,'LBIO','LION BIOTECHNOLOGIES INC'
206405,15225,'OCAT','OCATA THERAPEUTICS INC'
206436,15273,'SUNW','SUNWORKS INC'
206539,15264,'SUM','SUMMIT MATERIALS INC'
206667,15228,'JMG','JOURNAL MEDIA GROUP INC'
206814,15272,'SEDG','SOLAREDGE TECHNOLOGIES INC'
206934,15315,'GDDY','GODADDY INC'
207034,15282,'ADRO','ADURO BIOTECH INC'
207039,15291,'ETSY','ETSY INC'
207045,15327,'PRTY','PARTY CITY HOLDCO INC'
207047,15302,'VIRT','VIRTU FINANCIAL INC'
207048,15297,'NVIV','INVIVO THERAPEUTICS HLDS CORP'
207075,15298,'RELY','REAL INDUSTRY INC'
207083,15283,'APIC','APIGEE CORP'
207098,15284,'BPMC','BLUEPRINT MEDICINES CORP'
207184,15363,'BOJA','BOJANGLES INC'
207209,15351,'FTAI','FORTRESS TRANS AND INFR INV LLC'
207211,15332,'NYLD','N R G YIELD INC'
207283,15335,'TLN','TALEN ENERGY CORP'
207288,15339,'BKFS','BLACK KNIGHT FINANCIAL SRVCS INC'
207293,15357,'PGND','PRESS GANEY HOLDINGS INC'
